Paper_ID,Citation_Key,Title,Authors,Year,Venue,Venue_Type,DOI,URL,Verification_Level,Read_Depth,Quality_Tier,Recency_Class,Retraction_Checked,Research_Domain,Problem,Objective,Methodology,Dataset,Sample_Size,Model,Baseline,Evaluation_Metrics,Results,Limitations,Research_Gap,Novelty,Relevance_to_RQ,Code_Available,Data_Available,Full_Text_Available,Notes
P11,felmetsger2010waler,Toward Automated Detection of Logic Vulnerabilities in Web Applications,"Felmetsger, Viktoria and Cavedon, Ludovico and Kruegel, Christopher and Vigna, Giovanni",2010,USENIX Security 2010 (usenix.org),conference,,https://www.usenix.org/legacy/event/sec10/tech/full_papers/Felmetsger.pdf,V4,full,A,FOUNDATIONAL,arXiv only (no retraction registry); not withdrawn as of 2026-09-20,Business-logic flaws / semantic anomaly,"Web-app security research focuses on input-validation flaws (XSS, SQLi); application logic vulnerabilities (missing authorization, wrong prices) have no general specification and no automated detection (Abstract p.1; §2 p.3).",A first step toward automated detection of application logic vulnerabilities without requiring a specification of intended behaviour (Abstract; §2 p.3).,Dynamic invariant inference (Daikon extended to session and DB state) plus model checking with symbolic inputs (Waler on Java PathFinder); supported-invariant and internal-consistency heuristics prune spurious invariants (§3–§4 pp.3–12).,"12 servlet-based Java apps: 4 SourceForge (Easy JSP Forum, GIMS, JaCoB, JspCart) and 8 student Jebbo message boards (Table 1 p.14). Licences Not reported.","12 applications, 804–21,294 LOC each (Table 1 p.14)","Waler prototype (JPF + JPF-SE symbolic execution, Daikon/Chicory, 40 servlet model classes); no ML model (§4.2 p.7)","None; related tools (Swaddler, MiMoSA, QED) discussed qualitatively only (§6 pp.15–16)","Counts: entry points, states, likely invariants, violated invariants, alerts, vulnerabilities, bugs, false positives, analysis minutes (Table 1 p.14); no precision/recall; FN rate not measurable (§5.2 p.15)","29 previously unknown vulnerabilities in 4 real apps + 18 in 8 Jebbo apps, low FP (§5 p.13); GIMS 23 vulns/2 FP/88 min; JspCart 5 vulns/0 FP/4,576 min (Table 1 p.14). Per-row sum 30 vs text 29 — verify.","Neither sound nor complete (§1 p.2); misses flaws where no check was ever written; regex/DB-query checks not modelled (§4.3.4, §5.2); servlet-only; manual alert aggregation; state explosion (§4.3.4 p.12–13).","Offline program-level analysis: no runtime input-time semantic layer, no field-value semantics, no generated/adversarial inputs, no request overhead (OURS). Authors: extend detectable classes, Struts/Faces support (§7 p.17).",First automated logic-vulnerability detection combining inferred likely invariants over session/DB state with symbolic model checking of web applications (§1 p.3).,"RQ1 DIRECT (valid inputs violating app intent, conceptual ancestor); RQ4 DIRECT (unauthorized access, parameter tampering, session–DB inconsistency); RQ2, RQ5, RQ6 PARTIAL; RQ7 INDIRECT; RQ3 none",Not reported (no Waler link in paper),Partial: 4 test apps are public SourceForge projects; 8 Jebbo apps unpublished (§5 p.13; note 7 p.18),"YES (11_PAPERS/pdfs/2010_Felmetsger_Waler.pdf, USENIX Security '10 proceedings PDF)",metadata from Crossref/arXiv API 2026-09-20; content from 11_PAPERS/notes/P11.md (read 2026-09-20); FOUNDATIONAL; venue not printed on PDF (obtained from USENIX Security '10 URL)
P12,pellegrino2014logicflaws,Toward Black-Box Detection of Logic Flaws in Web Applications,"Pellegrino, Giancarlo and Balzarotti, Davide",2014,NDSS 2014,conference/workshop,10.14722/ndss.2014.23021,http://dx.doi.org/10.14722/ndss.2014.23021,V2,PLANNED: V3,B,FOUNDATIONAL,"Crossref record checked 2026-09-20, no retraction relation",Business-logic flaws / semantic anomaly,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,YES (arXiv/OA),metadata from Crossref/arXiv API 2026-09-20
P13,bisht2010notamper,NoTamper: automatic blackbox detection of parameter tampering opportunities in web applications,"Bisht, Prithvi and Hinrichs, Timothy and Skrupsky, Nazari and Bobrowicz, Radoslaw and Venkatakrishnan, V. N.",2010,ACM CCS 2010,conference/workshop,10.1145/1866307.1866375,http://dx.doi.org/10.1145/1866307.1866375,V2,Not read,B,FOUNDATIONAL,"Crossref record checked 2026-09-20, no retraction relation",Business-logic flaws / semantic anomaly,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,UNKNOWN (publisher),metadata from Crossref/arXiv API 2026-09-20
P14,raz2002semanticanomaly,Semantic anomaly detection in online data sources,"Raz, Orna and Koopman, Philip and Shaw, Mary",2002,ICSE 2002,conference/workshop,10.1145/581376.581378,http://dx.doi.org/10.1145/581376.581378,V2,Not read,C,FOUNDATIONAL,"Crossref record checked 2026-09-20, no retraction relation",Business-logic flaws / semantic anomaly,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,UNKNOWN (publisher),metadata from Crossref/arXiv API 2026-09-20
P15,metin2025blv,Business Logic Vulnerabilities in the Digital Era: A Detection Framework Using Artificial Intelligence,"Metin, Bilgin and Wynn, Martin and Tunalı, Aylin and Kepir, Yağmur",2025,Information (MDPI) 16(7),journal,10.3390/info16070585,http://dx.doi.org/10.3390/info16070585,V2,PLANNED: V3,B,PRIORITY,"Crossref record checked 2026-09-20, no retraction relation",Business-logic flaws / semantic anomaly,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,UNKNOWN (publisher),metadata from Crossref/arXiv API 2026-09-20
P16,armillotta2026antaeus,Antaeus: Hunting Repository-Level Logic Vulnerabilities via Context-Grounded LLM Reasoning,Michele Armillotta and Nicolò Romandini and Rebecca Montanari and Lorenzo Cavallaro,2026,arXiv (Jul 2026),preprint,,https://arxiv.org/abs/2607.01138,V2,PLANNED: V3,B,PRIORITY (concurrent),arXiv only (no retraction registry); not withdrawn as of 2026-09-20,Business-logic flaws / semantic anomaly,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,YES (arXiv/OA),metadata from Crossref/arXiv API 2026-09-20
P17,sahin2026accesspolicy,Enhancing REST API fuzzing with access policy violation checks and injection attacks,"Sahin, Omur and Zhang, Man and Arcuri, Andrea",2027,JSS 2026,journal,10.1016/j.jss.2026.113060,http://dx.doi.org/10.1016/j.jss.2026.113060,V2,Not read,C,PRIORITY,"Crossref record checked 2026-09-20, no retraction relation",Business-logic flaws / semantic anomaly,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,YES (arXiv/OA),metadata from Crossref/arXiv API 2026-09-20
P18,pan2024edefuzz,EDEFuzz: A Web API Fuzzer for Excessive Data Exposures,"Pan, Lianglu and Cohney, Shaanan and Murray, Toby and Pham, Van-Thuan",2024,ICSE 2024,conference/workshop,10.1145/3597503.3608133,http://dx.doi.org/10.1145/3597503.3608133,V2,Not read,C,PRIORITY,"Crossref record checked 2026-09-20, no retraction relation",Business-logic flaws / semantic anomaly,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,UNKNOWN (publisher),metadata from Crossref/arXiv API 2026-09-20
P19,sheng2025llmsecsurvey,LLMs in Software Security: A Survey of Vulnerability Detection Techniques and Insights,"Sheng, Ze and Chen, Zhicheng and Gu, Shuning and Huang, Heqing and Gu, Guofei and Huang, Jeff",2025,ACM CSUR 58(5),journal,10.1145/3769082,http://dx.doi.org/10.1145/3769082,V2,Not read,C,PRIORITY,"Crossref record checked 2026-09-20, no retraction relation",Business-logic flaws / semantic anomaly,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,UNKNOWN (publisher),metadata from Crossref/arXiv API 2026-09-20
P20,li2026webformtest,Large Language Models for Automated Web-Form-Test Generation: An Empirical Study,"Li, Tao and Cui, Chenhui and Huang, Rubing and Towey, Dave and Ma, Lei",2026,ACM TOSEM (arXiv 2405.09965),journal,10.1145/3735553,http://dx.doi.org/10.1145/3735553,V4,full,A,PRIORITY,"Crossref record checked 2026-09-20, no retraction relation",LLM-generated inputs & test generation,LLM web-form test generation must capture contextual information from complex multi-level HTML; no comparative study of different LLMs for web-form-test generation existed (Abstract p.1; §1 p.2–3).,Empirically compare 11 LLMs and 3 prompt/context types on effectiveness (successfully-submitted rate) and tester-judged quality of generated web-form tests (§4.1 p.14).,"Five-step framework: HTML pruning (Alg. 1), 3 context variants (raw / LLM-processed / parser-processed), prompt design, LLM call, Selenium insertion; success = any server response caught (§3 pp.7–14). Mann-Whitney U, Â12; 20-tester Likert study.","30 open-source Java web apps from GitHub, 146 forms in 5 categories (§4.3 p.15–16); licences Not reported; released at github.com/abelli1024/web-form-test-gen-empirical-study.","146 forms × 11 LLMs × 3 prompts × 3 runs = 14,454 tests; 438 tasks per LLM per prompt; 20 testers (§4.3 p.16; Table 2 p.17)","GPT-3.5, GPT-4, GLM-3, GLM-4, GLM-4V, Baichuan2-53B, LLaMa2-7B/13B/70B, Spark-3, Spark-3.5; default hyperparameters (temperature 1) (Table 1 p.15; §4.2 p.15)",None external; explicitly no random-based baselines (§5.4 p.28); LLMs and prompt types compared against each other,"Successfully-submitted rate (SSR, = Alian's form passing rate); Mann-Whitney U and Â12; failure-reason distribution; 5-point tester quality with Kendall's W (§4.3 p.16–17)","Average SSR 60.37%; GPT-4 98.48% (PH-P 99.54%), GLM-4V 0% (Table 2 p.17); tester quality mean 2.47/5, GPT-4 3.62 (Table 8 p.27); 29.50% of failures = wrong content (§5.2.1 p.24–25).","Authors admit invalid data (e.g., 'user@') can be successfully submitted (§5.4 p.29); no random baselines; SSR not coverage; open-source apps only. OURS: oracle = any server response, so SSR measures structural acceptance.",Structural-pass/semantic-fail rate never quantified; validation of invalid tests left as future work (§5.4 p.29; §7 p.32); no per-field-type rates; no latency/cost (§4.5 p.17).,First comparative study of multiple LLMs (11) and prompt types for web-form test generation (§1 p.3; §6.4 p.31).,RQ1 central (SSR = structural pass; 99.54% SSR vs 3.62/5 quality); RQ2 PARTIAL (category-level only); RQ3 PARTIAL (LLM-vs-LLM only); RQ4 PARTIAL (generation-failure taxonomy); RQ5–RQ7 none,Yes — github.com/abelli1024/web-form-test-gen-empirical-study (§1 p.4),"Yes — datasets, results, questionnaire in same repository (§1 p.4; fn.6 p.16)",YES (11_PAPERS/pdfs/2024_Li_WebFormTestLLM.pdf; arXiv 2405.09965v2 accepted manuscript),metadata from Crossref/arXiv API 2026-09-20; content from 11_PAPERS/notes/P20.md (read 2026-09-20); arXiv v2 read; TOSEM camera-ready (DOI 10.1145/3735553) unverified; PDF carries ACM template placeholders; year 2025 (arXiv) vs 2026 (key) — resolve via Crossref
P21,alian2024formnexus,Semantic Constraint Inference for Web Form Test Generation,Parsa Alian and Noor Nashid and Mobina Shahbandeh and Ali Mesbah,2024,arXiv,preprint,,https://arxiv.org/abs/2402.00950,V4,full,A,PRIORITY,arXiv only (no retraction registry); not withdrawn as of 2026-09-20,LLM-generated inputs & test generation,Web-form test generation is sparsely explored; suitable values require understanding field semantics and cross-field relations; naive LLM use hits context limits and misses cross-field constraints (§1 p.1; §2 p.3).,"FormNexus: LLM-agnostic pipeline inferring semantic constraints via a Form Entity Relation Graph, generating values, validating them by feedback; measure FSS coverage against baselines (§1 p.1–2; §4 p.8).","FERG (ADA + node2vec embeddings, cosine edges) → per-field constraint templates (14 types) via LLM → value generation → DOM-diff feedback loop → constraint-negation validation → Selenium tests; GPT-4/Llama 2 at temperature 0 (§3 pp.4–8).","New dataset: 30 web forms (Mind2Web sites + 6 open-source apps), 102 inputs, 4 categories; manually established ground-truth FSSs (§4.1–4.2 p.8–9); licence Not reported.","30 forms, 102 input fields (avg 3.4/form); single run at temperature 0 (§4.2 p.9)","GPT-4 and Llama 2 (FormNexus-GPT-4, FormNexus-Llama 2), temperature 0 (§3.4 p.8; §4 p.8)",Static type-based values; Crawljax random (20 per input); standalone GPT-4; standalone Llama 2; QTypist-like GPT-4 (§4.3 p.9),"Form Submission State (FSS) coverage %; form passing rate; constraints per field, % invalidated, iterations to stability (§4.4 p.9)","FSS coverage FormNexus-GPT-4 89% vs standalone GPT-4 71%, static 57%, Crawljax 30% (Fig. 6 p.9); passing rate 83% vs 63% / 23% / 3% (Fig. 7 p.10); ~26% of inferred constraints not enforced (§4.4 p.9).",Weak application feedback hinders inference; no dynamic state; complex regex/math constraints hard for LLMs; hallucinated constraint names (§5 p.11). OURS: oracle = form's own feedback; no variance/statistics; arXiv v2 placeholder DOI.,"Does not measure how often LLM inputs pass syntactic checks yet violate semantic constraints; no runtime semantic validator or overhead (OURS). Authors: multi-step forms, GNN embeddings, solvers (§5 p.11; §7 p.11–12).",FERG-based semantic constraint inference with feedback-driven constraint validation; new 30-form dataset; 25% FSS-coverage gain over standalone GPT-4 (§1 p.2; §4.5 p.9).,"RQ3 DIRECT (LLM vs random vs rule-based on same forms); RQ1 PARTIAL (GPT-4 passes single-field format, fails cross-field); RQ2 PARTIAL (category-level); RQ4 PARTIAL (14 constraint templates); RQ5 PARTIAL; RQ6, RQ7 none",Yes — github.com/parsaalian/webform-testing (§8 p.12),Yes — ground-truth FSS dataset and form documentation in same repository (§8 p.12),YES (11_PAPERS/pdfs/2024_Alian_FormNexus.pdf; arXiv 2402.00950v2),metadata from Crossref/arXiv API 2026-09-20; content from 11_PAPERS/notes/P21.md (read 2026-09-20); PDF header says ISSTA 2024 but DOI/ISBN are placeholders — confirm ACM DOI via Crossref before citing published version (Stage 5)
P22,chen2025fillforms,Using Large Language Model to Fill in Web Forms to Support Automated Web Application Testing,"Chen, Feng-Kai and Liu, Chien-Hung and You, Shingchern D.",2025,Information (MDPI) 16(2),journal,10.3390/info16020102,http://dx.doi.org/10.3390/info16020102,V2,PLANNED: V3,B,PRIORITY,"Crossref record checked 2026-09-20, no retraction relation",LLM-generated inputs & test generation,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,UNKNOWN (publisher),metadata from Crossref/arXiv API 2026-09-20
P23,kim2024restgpt,Leveraging Large Language Models to Improve REST API Testing,"Kim, Myeongsoo and Stennett, Tyler and Shah, Dhruv and Sinha, Saurabh and Orso, Alessandro",2024,ICSE-NIER 2024,conference/workshop,10.1145/3639476.3639769,http://dx.doi.org/10.1145/3639476.3639769,V2,Not read,B,PRIORITY,"Crossref record checked 2026-09-20, no retraction relation",LLM-generated inputs & test generation,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,UNKNOWN (publisher),metadata from Crossref/arXiv API 2026-09-20
P24,kim2025llamaresttest,LlamaRestTest: Effective REST API Testing with Small Language Models,"Kim, Myeongsoo and Sinha, Saurabh and Orso, Alessandro",2025,FSE 2025 / PACMSE,journal,10.1145/3715737,http://dx.doi.org/10.1145/3715737,V4,full,A,PRIORITY,"Crossref record checked 2026-09-20, no retraction relation",LLM-generated inputs & test generation,Spec-driven REST API testing tools generate invalid requests ignoring value formats and inter-parameter dependencies; static spec-enhancement tools (RESTGPT) cannot use server feedback and cost ~$10/spec (§1 p.2; §2.4 p.6; §3.1 p.7).,Fine-tune small LMs (Llama3-8B) to extract IPD rules and generate semantically valid values dynamically from parameter descriptions and server responses; compare with RESTGPT and state-of-the-art tools (§1 p.2; §4 p.11).,"Two QLoRA-fine-tuned Llama3-8B models (LlamaREST-IPD, LlamaREST-EX), 2/4/8-bit quantization, integrated in ARAT-RL Q-learning loop triggered on repeated 4xx; 1-hour budget, 10 runs (§3 pp.6–10; §4.1 p.11).","12 REST services (9 open-source, 3 online) from ARAT-RL/RESTGPT benchmarks (Table 1 p.11); fine-tuning data: 551 IPD parameters (Martin-Lopez) + 4,133 APIs-guru specs (§3.2 p.7); licences Not reported.",12 services; 10 runs × 1 h per tool (3 for ablation); 18 ground-truth IPD rules; values judged by 2 developers (§4.1–4.2 p.11–13),Llama3-8B fine-tuned with QLoRA on A100; llama.cpp 2/4/8-bit variants (2.96–7.95 GB) (§3.3 p.9–10),"RESTGPT (GPT-3.5-based), base Llama3-8B; RESTler 9.2.4, EvoMaster 3.0.0, ARAT-RL 0.1, MoRest (§4.2 p.13; §4.4 p.16)",Precision of semantically valid value generation (human-judged); correct IPD rules of 18; JaCoCo method/branch/line coverage; operations processed; unique 500 errors; inference time (§4.1–4.3),"Base Llama3-8B only 22.94% semantically valid values (Spotify 0%) vs fine-tuned 72.44%, RESTGPT 68.82% (Table 3 p.12); IPD rules 12/18 vs 9 (Table 4 p.12); 8-bit best coverage 55.8% (Fig. 3 p.14); 26–49 s per IPD (§4.3 p.15).","Weak on services with poor server feedback (§4.4 p.17); small model struggles with region-specific formats and domain knowledge (§4.2 p.13); 2-bit degrades. OURS: no kappa, no variance; inconsistencies 22.94 vs 24.94%, 17 vs 18 IPDs.","No measurement of how often type-valid inputs fail server semantic validation; no runtime input validator — server 4xx messages are the oracle (OURS). Authors: more API types, refine dynamic interaction (§6 p.20).",First black-box REST testing approach using LMs with dynamic server feedback; fine-tuned small models match or exceed GPT-3.5-based RESTGPT at lower cost (§1 p.2–3).,"RQ1 DIRECT (type-valid ≠ semantically valid, 22.94% base); RQ3 PARTIAL (LLM vs random/type-based tools); RQ4 PARTIAL (IPD taxonomy); RQ6 PARTIAL (26–49 s LM inference); RQ7 DIRECT (quantization trade-off); RQ2 PARTIAL; RQ5 generation-side only",Yes — github.com/codingsoo/LlamaRestTest (§1 p.3; §4.7 p.19),"Yes — fine-tuning data, validated IPD dataset, models, results in same repository (§3.2 p.8)",YES (11_PAPERS/pdfs/2025_Kim_LlamaRestTest.pdf; arXiv 2501.08598v2 with PACMSE/FSE 2025 header),"metadata from Crossref/arXiv API 2026-09-20; content from 11_PAPERS/notes/P24.md (read 2026-09-20); arXiv v2 prints FSE 2025 header, DOI 10.1145/3715737, CC BY 4.0; internal numeric inconsistencies (22.94/24.94%; 17/18 IPDs) to resolve against ACM version"
P25,huynh2024constraints,Using LLM for Mining and Testing Constraints in API Testing,"Huynh, Hieu and Le, Quoc-Tri and Nguyen, Tien N. and Nguyen, Vu",2024,ASE 2024,conference/workshop,10.1145/3691620.3695341,http://dx.doi.org/10.1145/3691620.3695341,V2,Not read,B,PRIORITY,"Crossref record checked 2026-09-20, no retraction relation",LLM-generated inputs & test generation,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,Not read,see SCREENING_REGISTER theme,Not read,Not read,UNKNOWN (publisher),metadata from Crossref/arXiv API 2026-09-20
