item_id,target_id,field_purpose,rules_to_check,submitted_value,verdict_per_rule,notes
F15+F16|B|r1|0,F15+F16,,,,B-CO-1=PASS;B-CO-2=PASS;B-CO-3=PASS,
F28|C|r1|0,F28,,,,B-BK-2=PASS;B-BK-3=PASS,
F28|F|r1|0,F28,,,,B-BK-2=FAIL;B-BK-3=FAIL,
F25|E|P1|r1|0,F25,,,,B-BK-1=PASS;B-BK-8=PASS,
F04|C|r1|0,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F28|E|P1|r1|0,F28,,,,B-BK-2=FAIL;B-BK-3=FAIL,
F18|C|r1|1,F18,,,,B-SE-3=FAIL,
F13|F|r1|0,F13,,,,B-CO-6=PASS,
F03|F|r1|0#repeat,F03,,,,B-PR-6=FAIL,
F14|B|r1|0,F14,,,,B-CO-7=PASS,
F15+F16|G|r1|56,F15+F16,,,,B-CO-1=PASS;B-CO-2=PASS;B-CO-3=PASS,
F03|D|P1|r1|0,F03,,,,B-PR-6=PASS,
F14|F|r1|0,F14,,,,B-CO-7=PASS,
F25|B|r1|0,F25,,,,B-BK-1=PASS;B-BK-8=PASS,
F03|D|P1|r1|0#repeat,F03,,,,B-PR-6=PASS,
F04|A|r1|9,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F13|C|r1|1,F13,,,,B-CO-6=PASS,
F28|D|P2|r1|2,F28,,,,B-BK-2=FAIL;B-BK-3=FAIL,
F18|A|r1|64,F18,,,,B-SE-3=PASS,
F12|F|r1|0,F12,,,,B-CO-5=PASS;B-CO-6=PASS,
F13|A|r1|40,F13,,,,B-CO-6=PASS,
F29|C|r1|0,F29,,,,B-BK-7=PASS,
F12|E|P1|r1|1,F12,,,,B-CO-6=PASS;B-CO-5=PASS,
F29|G|r1|96,F29,,,,B-BK-7=PASS,
F12|D|P1|r1|1,F12,,,,B-CO-5=PASS;B-CO-6=PASS,
F20+F21|E|P1|r1|1,F20+F21,,,,B-SE-1=PASS,
F15+F16|C|r1|1,F15+F16,,,,B-CO-1=PASS;B-CO-2=PASS;B-CO-3=PASS,
F18|D|P1|r1|0,F18,,,,B-SE-3=PASS,
F13|C|r1|0,F13,,,,B-CO-6=PASS,
F12|C|r1|1,F12,,,,B-CO-5=PASS;B-CO-6=PASS,
F14|A|r1|48,F14,,,,B-CO-7=PASS,
F18|C|r1|0,F18,,,,B-SE-3=FAIL,
F04|G|r1|9,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F31+F33|A|r1|104,F31+F33,,,,B-RV-3=PASS;B-RV-4=PASS;B-RV-6=PASS,
F18|E|P1|r1|0,F18,,,,B-SE-3=FAIL,
F01|A|r1|0#repeat,F01,,,,B-PR-5=PASS,
F03|D|P1|r1|1,F03,,,,B-PR-6=PASS,
F25|G|r1|80,F25,,,,B-BK-1=PASS;B-BK-8=PASS,
F20+F21|C|r1|0,F20+F21,,,,B-SE-1=PASS,
F01|A|r1|0,F01,,,,B-PR-5=PASS,
F31+F33|G|r1|104,F31+F33,,,,B-RV-3=PASS;B-RV-4=PASS;B-RV-6=PASS,
F25|F|r1|0,F25,,,,B-BK-1=PASS;B-BK-8=PASS,
F18|G|r1|65,F18,,,,B-SE-3=FAIL,
F07+F09|C|r1|0,F07+F09,,,,B-CO-4=PASS,
F01|F|r1|0#repeat,F01,,,,B-PR-5=PASS,
F01|C|r1|1,F01,,,,B-PR-5=FAIL,
F25|A|r1|80,F25,,,,B-BK-1=PASS;B-BK-8=PASS,
F01|D|P1|r1|0,F01,,,,B-PR-5=PASS,
F12|E|P1|r1|0,F12,,,,B-CO-5=PASS;B-CO-6=PASS,
F15+F16|A|r1|57,F15+F16,,,,B-CO-1=PASS;B-CO-2=PASS;B-CO-3=PASS,
F04|A|r1|8,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F07+F09|C|r1|1,F07+F09,,,,B-CO-4=PASS,
F29|F|r1|0,F29,,,,B-BK-7=FAIL,
F14|B|r1|1,F14,,,,B-CO-7=FAIL,
F12|B|r1|1,F12,,,,B-CO-5=PASS;B-CO-6=PASS,
F25|B|r1|1,F25,,,,B-BK-1=PASS;B-BK-8=PASS,
F28|G|r1|88,F28,,,,B-BK-2=PASS;B-BK-3=PASS,
F14|F|r1|1,F14,,,,B-CO-7=PASS,
F07+F09|G|r1|24,F07+F09,,,,B-CO-4=PASS,
F20+F21|A|r1|72,F20+F21,,,,B-SE-1=PASS,
F14|D|P1|r1|1,F14,,,,B-CO-7=PASS,
F01|F|r1|1,F01,,,,B-PR-5=FAIL,
F20+F21|D|P1|r1|1,F20+F21,,,,B-SE-1=PASS,
F28|A|r1|88,F28,,,,B-BK-2=FAIL;B-BK-3=FAIL,
F15+F16|A|r1|56,F15+F16,,,,B-CO-1=PASS;B-CO-2=PASS;B-CO-3=PASS,
F14|D|P1|r1|0,F14,,,,B-CO-7=PASS,
F28|D|P7|r1|3,F28,,,,B-BK-2=FAIL;B-BK-3=FAIL,
F15+F16|F|r1|0,F15+F16,,,,B-CO-1=PASS;B-CO-2=PASS;B-CO-3=PASS,
F07+F09|B|r1|1,F07+F09,,,,B-CO-4=PASS,
F03|E|P1|r1|0,F03,,,,B-PR-6=PASS,
F07+F09|A|r1|25,F07+F09,,,,B-CO-4=PASS,
F25|G|r1|81,F25,,,,B-BK-1=PASS;B-BK-8=PASS,
F01|B|r1|0#repeat,F01,,,,B-PR-5=FAIL,
F01|F|r1|0,F01,,,,B-PR-5=PASS,
F04|C|r1|1,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F12|G|r1|33,F12,,,,B-CO-5=PASS;B-CO-6=PASS,
F13|G|r1|40,F13,,,,B-CO-6=PASS,
F04|F|r1|0#repeat,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F04|B|r1|0,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F01|G|r1|0#repeat,F01,,,,B-PR-5=PASS,
F04|B|r1|1,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F18|E|P1|r1|1,F18,,,,B-SE-3=FAIL,
F12|A|r1|32,F12,,,,B-CO-5=PASS;B-CO-6=PASS,
F01|A|r1|1,F01,,,,B-PR-5=PASS,
F07+F09|F|r1|0,F07+F09,,,,B-CO-4=PASS,
F15+F16|D|P1|r1|1,F15+F16,,,,B-CO-1=PASS;B-CO-2=PASS;B-CO-3=PASS,
F15+F16|G|r1|57,F15+F16,,,,B-CO-1=PASS;B-CO-2=PASS;B-CO-3=PASS,
F04|E|P1|r1|0#repeat,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F12|F|r1|1,F12,,,,B-CO-5=PASS;B-CO-6=PASS,
F18|F|r1|0,F18,,,,B-SE-3=FAIL,
F20+F21|F|r1|1,F20+F21,,,,B-SE-1=PASS,
F15+F16|D|P1|r1|0,F15+F16,,,,B-CO-1=PASS;B-CO-3=PASS;B-CO-2=PASS,
F13|A|r1|41,F13,,,,B-CO-6=PASS,
F36+F37|A|r1|120,F36+F37,,,,B-TK-3=PASS;B-TK-4=PASS,
F39|D|P1|r1|0,F39,,,,B-CH-1=PASS;B-CH-2=PASS,
F20+F21|G|r1|72,F20+F21,,,,B-SE-1=PASS,
F14|A|r1|49,F14,,,,B-CO-7=PASS,
F36+F37|D|P1|r1|0,F36+F37,,,,B-TK-3=PASS;B-TK-4=PASS,
F13|E|P1|r1|1,F13,,,,B-CO-6=PASS,
F20+F21|F|r1|0,F20+F21,,,,B-SE-1=PASS,
F04|D|P1|r1|0#repeat,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F04|C|r1|0#repeat,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F18|B|r1|0,F18,,,,B-SE-3=FAIL,
F03|C|r1|1,F03,,,,B-PR-6=PASS,
F14|E|P1|r1|1,F14,,,,B-CO-7=PASS,
F25|D|P1|r1|0,F25,,,,B-BK-1=PASS;B-BK-8=PASS,
F01|D|P1|r1|1,F01,,,,B-PR-5=PASS,
F04|E|P1|r1|0,F04,,,,B-PR-2=PASS;B-PR-3=PASS;B-PR-4=PASS,
F35|F|r1|0,F35,,,,B-TK-2=FAIL;B-TK-5=FAIL,
F20+F21|B|r1|0,F20+F21,,,,B-SE-1=PASS,
F07+F09|E|P1|r1|1,F07+F09,,,,B-CO-4=PASS,
F31+F33|F|r1|0,F31+F33,,,,B-RV-3=PASS;B-RV-4=PASS;B-RV-6=PASS,
F25|C|r1|0,F25,,,,B-BK-1=PASS;B-BK-8=PASS,
F13|D|P1|r1|0,F13,,,,B-CO-6=PASS,
F39|C|r1|0,F39,,,,B-CH-1=PASS;B-CH-2=PASS,
F29|B|r1|0,F29,,,,B-BK-7=PASS,
F25|D|P1|r1|1,F25,,,,B-BK-1=PASS;B-BK-8=PASS,
F25|E|P1|r1|1,F25,,,,B-BK-1=PASS;B-BK-8=PASS,
F03|F|r1|0,F03,,,,B-PR-6=FAIL,
F39|G|r1|128,F39,,,,B-CH-1=FAIL;B-CH-2=FAIL,
F12|D|P1|r1|0,F12,,,,B-CO-5=PASS;B-CO-6=PASS,
F25|F|r1|1,F25,,,,B-BK-1=PASS;B-BK-8=PASS,
F14|C|r1|0,F14,,,,B-CO-7=PASS,
F12|G|r1|32,F12,,,,B-CO-5=PASS;B-CO-6=PASS,
